r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status
010210020,1939.0,1.0,3.0,6.0,0.0,1.0,7.0,802.0,3.0,5.0,3.0,1.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
010217010,1932.0,2.0,3.0,4.0,0.0,1.0,,,5.0,5.0,,,,,,,,,,,,,,
010225010,1934.0,2.0,2.0,8.0,1.0,2.0,4.0,721.0,1.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
010237020,1940.0,1.0,3.0,14.0,4.0,4.0,,,1.0,,,,,,,,,,,,,,,
010237030,1942.0,2.0,3.0,17.0,5.0,5.0,,,1.0,7.0,,,,,,,,,,,,,,
010240010,1939.0,1.0,1.0,9.0,0.0,1.0,,721.0,2.0,4.0,,,,5.0,,,,,,,,,,
010257010,1935.0,2.0,2.0,11.0,0.0,1.0,,,5.0,,,,,,,,,,,,,,,
010281010,1938.0,2.0,2.0,12.0,2.0,3.0,4.0,766.0,1.0,1.0,6.0,1.0,1.0,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
010281020,1934.0,1.0,2.0,11.0,0.0,1.0,5.0,756.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,
010299010,1940.0,1.0,1.0,17.0,6.0,5.0,3.0,745.0,1.0,1.0,7.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
010299011,1951.0,2.0,3.0,7.0,0.0,1.0,4.0,746.0,,,,1.0,1.0,7.0,1.0,,2.0,1.0,2.0,5.0,,,5.0,5.0
010299012,1968.0,2.0,3.0,12.0,2.0,3.0,1.0,,,,,,,,,7.0,7.0,7.0,5.0,,,,,
