,r_age_ss_payments,r_birth_yr,r_child_born,r_edu_high_deg,r_edu_sum,r_edu_yrs,r_gender,r_ID,r_race
r_age_ss_payments,1.0,-0.3809528247949182,0.0512558321766216,0.1489184024297805,0.14346901784996283,0.12006866910864653,-0.05957987742684511,-0.22432884567831693,-0.1579916819280998
r_birth_yr,-0.3809528247949182,1.0,-0.13694852682504707,0.2388992545049919,0.2483870713009094,0.23471760177362774,0.008114224112995115,0.6292464747048774,0.2697269720779295
r_child_born,0.0512558321766216,-0.13694852682504707,1.0,-0.23021393343095956,-0.2430282156331041,-0.26399710812499555,0.011391278511382394,-0.1251915843201821,0.08658057880835565
r_edu_high_deg,0.1489184024297805,0.2388992545049919,-0.23021393343095956,1.0,0.9655531261822545,0.8486901786089949,-0.028840070398165864,0.12639792292160704,-0.08384162267794656
r_edu_sum,0.14346901784996283,0.2483870713009094,-0.2430282156331041,0.9655531261822545,1.0,0.8614574983730122,-0.015764668355911376,0.132517744460105,-0.09069256770959647
r_edu_yrs,0.12006866910864653,0.23471760177362774,-0.26399710812499555,0.8486901786089949,0.8614574983730122,1.0,-0.009972781133567456,0.10911122754087202,-0.11219764826704408
r_gender,-0.05957987742684511,0.008114224112995115,0.011391278511382394,-0.028840070398165864,-0.015764668355911376,-0.009972781133567456,1.0,-0.0007468832769412096,0.007723053820315159
r_ID,-0.22432884567831693,0.6292464747048774,-0.1251915843201821,0.12639792292160704,0.132517744460105,0.10911122754087202,-0.0007468832769412096,1.0,0.29261230690415596
r_race,-0.1579916819280998,0.2697269720779295,0.08658057880835565,-0.08384162267794656,-0.09069256770959647,-0.11219764826704408,0.007723053820315159,0.29261230690415596,1.0
